daydt,item_id,store_id,promo_price
2019-08-08,item6,store4,252.6
2019-08-08,item6,store3,252.6
2019-08-09,item6,store4,252.6
2019-08-09,item6,store3,252.6
2019-08-10,item6,store4,252.6
2019-08-10,item6,store3,252.6
2019-10-25,item1,store2,20.5
2019-10-25,item4,store2,20.1
2019-10-26,item1,store2,20.5
2019-10-26,item4,store2,20.1
2019-10-31,item6,store4,252.6
2019-10-31,item6,store3,252.6
2019-11-01,item6,store4,252.6
2019-11-01,item6,store3,252.6
2019-11-02,item6,store4,252.6
2019-11-02,item6,store3,252.6
2019-11-26,item6,store4,252.6
2019-11-26,item6,store3,252.6
2019-11-27,item6,store4,252.6
2019-11-27,item6,store3,252.6
2019-11-28,item6,store4,252.6
2019-11-28,item6,store3,252.6
2019-11-29,item6,store4,252.6
2019-11-29,item6,store3,252.6
2019-11-30,item6,store4,252.6
2019-11-30,item6,store3,252.6
2019-12-01,item6,store4,252.6
2019-12-01,item6,store3,252.6
2019-12-02,item6,store4,252.6
2019-12-02,item6,store3,252.6
2019-12-03,item6,store4,252.6
2019-12-03,item6,store3,252.6
2020-04-15,item6,store4,252.6
2020-04-15,item6,store3,252.6
2020-04-16,item6,store4,252.6
2020-04-16,item6,store3,252.6
2020-04-17,item6,store4,252.6
2020-04-17,item6,store3,252.6
2020-04-18,item6,store4,252.6
2020-04-18,item6,store3,252.6
2020-04-19,item6,store4,252.6
2020-04-19,item6,store3,252.6
2020-04-21,item5,store3,15.5
2020-04-21,item6,store3,252.6
2020-04-22,item5,store3,15.5
2020-04-22,item6,store3,252.6
2020-04-23,item5,store3,15.5
2020-04-23,item6,store3,252.6
2020-04-24,item5,store3,15.5
2020-04-24,item6,store3,252.6
2020-04-25,item5,store3,15.5
2020-04-25,item6,store3,252.6
2020-04-26,item5,store3,15.5
2020-04-26,item6,store3,252.6
2020-04-27,item5,store3,15.5
2020-04-27,item6,store3,252.6
2020-04-28,item5,store3,15.5
2020-04-28,item6,store3,252.6
2020-04-29,item5,store3,15.5
2020-04-29,item6,store3,252.6
2020-04-30,item5,store3,15.5
2020-04-30,item6,store3,252.6
2020-08-27,item6,store4,252.6
2020-08-27,item6,store3,252.6
2020-08-28,item6,store4,252.6
2020-08-28,item6,store3,252.6
2020-08-29,item6,store4,252.6
2020-08-29,item6,store3,252.6
2020-09-23,item1,store1,236.2
2020-09-23,item1,store4,236.2
2020-09-24,item1,store1,236.2
2020-09-24,item1,store4,236.2
2020-09-25,item1,store1,236.2
2020-09-25,item1,store4,236.2
2020-10-07,item6,store4,252.6
2020-10-08,item6,store4,252.6
2020-11-26,item1,store1,277.7
2020-11-26,item1,store4,277.7
2020-11-26,item6,store4,252.6
2020-11-26,item6,store3,252.6
2020-11-27,item1,store1,277.7
2020-11-27,item1,store4,277.7
2020-11-27,item6,store4,252.6
2020-11-27,item6,store3,252.6
2020-11-28,item1,store1,277.7
2020-11-28,item1,store4,277.7
2020-11-28,item6,store4,252.6
2020-11-28,item6,store3,252.6
2020-11-29,item1,store1,277.7
2020-11-29,item1,store4,277.7
2021-01-28,item1,store1,277.7
2021-01-28,item1,store4,277.7
2021-01-29,item1,store1,277.7
2021-01-29,item1,store4,277.7
2021-01-30,item1,store1,277.7
2021-01-30,item1,store4,277.7
2021-02-25,item1,store2,20.5
2021-02-25,item4,store2,20.1
2021-02-26,item1,store2,20.5
2021-02-26,item4,store2,20.1
2021-02-27,item1,store2,20.5
2021-02-27,item4,store2,20.1
2021-05-06,item1,store1,260.9
2021-05-06,item1,store4,260.9
2021-05-06,item1,store2,20.5
2021-05-06,item4,store2,20.1
2021-05-07,item1,store1,260.9
2021-05-07,item1,store4,260.9
2021-05-07,item1,store2,20.5
2021-05-07,item4,store2,20.1
2021-05-08,item1,store1,260.9
2021-05-08,item1,store4,260.9
2021-05-08,item1,store2,20.5
2021-05-08,item4,store2,20.1
2021-05-10,item1,store1,260.9
2021-05-10,item1,store4,260.9
2021-05-11,item1,store1,260.9
2021-05-11,item1,store4,260.9
2021-05-12,item1,store4,260.9
2021-05-27,item6,store4,252.6
2021-05-27,item6,store3,252.6
2021-05-28,item6,store4,252.6
2021-05-28,item6,store3,252.6
2021-05-29,item6,store4,252.6
2021-05-29,item6,store3,252.6
2021-05-30,item6,store4,252.6
2021-05-30,item6,store3,252.6
2021-06-14,item1,store1,294.5
2021-06-14,item1,store4,294.5
2021-06-14,item1,store2,20.5
2021-06-15,item1,store1,294.5
2021-06-15,item1,store4,294.5
2021-06-15,item1,store2,20.5
2021-06-16,item1,store1,294.5
2021-06-16,item1,store4,294.5
2021-06-16,item1,store2,20.5
2021-06-17,item1,store1,294.5
2021-06-17,item1,store4,294.5
2021-06-17,item1,store2,20.5
2021-06-18,item1,store1,294.5
2021-06-18,item1,store4,294.5
2021-06-18,item1,store2,20.5
2021-06-19,item1,store1,294.5
2021-06-19,item1,store4,294.5
2021-06-19,item1,store2,20.5
2021-06-20,item1,store1,294.5
2021-06-20,item1,store4,294.5
2021-06-20,item1,store2,20.5
2021-06-21,item1,store1,294.5
2021-06-21,item1,store4,294.5
2021-06-21,item1,store2,20.5
2021-07-15,item1,store1,294.5
2021-07-15,item1,store4,294.5
2021-07-15,item1,store2,20.5
2021-07-15,item4,store2,20.1
2021-07-16,item1,store1,294.5
2021-07-16,item1,store4,294.5
2021-07-16,item1,store2,20.5
2021-07-16,item4,store2,20.1
2021-07-17,item1,store1,294.5
2021-07-17,item1,store4,294.5
2021-07-17,item1,store2,20.5
2021-07-17,item4,store2,20.1
2021-09-22,item1,store1,236.2
2021-09-22,item1,store4,236.2
2021-09-23,item1,store4,236.2
2021-09-24,item1,store1,236.2
2021-09-24,item1,store4,236.2
2021-09-25,item1,store4,236.2
2021-10-28,item1,store1,277.7
2021-10-28,item1,store4,277.7
2021-10-29,item1,store1,277.7
2021-10-29,item1,store4,277.7
2021-10-30,item1,store1,277.7
2021-10-30,item1,store4,277.7
2021-11-25,item1,store1,260.9
2021-11-25,item1,store4,260.9
2021-11-25,item1,store2,20.5
2021-11-25,item4,store2,20.1
2021-11-25,item6,store4,252.6
2021-11-25,item6,store3,252.6
2021-11-26,item1,store1,260.9
2021-11-26,item1,store4,260.9
2021-11-26,item1,store2,20.5
2021-11-26,item4,store2,20.1
2021-11-26,item6,store4,252.6
2021-11-26,item6,store3,252.6
2021-11-27,item1,store1,260.9
2021-11-27,item1,store4,260.9
2021-11-27,item1,store2,20.5
2021-11-27,item4,store2,20.1
2021-11-27,item6,store4,252.6
2021-11-27,item6,store3,252.6
2021-11-28,item6,store4,252.6
2021-11-28,item6,store3,252.6
2022-02-22,item1,store2,20.5
2022-02-22,item4,store2,20.1
2022-02-23,item1,store2,20.5
2022-02-23,item4,store2,20.1
2022-02-24,item1,store2,20.5
2022-02-24,item4,store2,20.1
2022-02-25,item1,store2,20.5
2022-02-25,item4,store2,20.1
2022-02-26,item1,store2,20.5
2022-02-26,item4,store2,20.1
2022-02-27,item1,store2,20.5
2022-02-27,item4,store2,20.1
2022-02-28,item1,store2,20.5
2022-02-28,item4,store2,20.1
2022-04-27,item1,store1,265.5
2022-04-27,item1,store2,20.5
2022-04-27,item4,store2,20.1
2022-04-28,item1,store1,265.5
2022-04-28,item1,store2,20.5
2022-04-28,item4,store2,20.1
2022-04-29,item1,store1,265.5
2022-04-29,item1,store4,265.5
2022-04-29,item1,store2,20.5
2022-04-29,item4,store2,20.1
2022-04-30,item1,store1,265.5
2022-04-30,item1,store4,265.5
2022-04-30,item1,store2,20.5
2022-04-30,item4,store2,20.1
2022-05-01,item1,store1,265.5
2022-05-01,item1,store4,265.5
2022-05-01,item1,store2,20.5
2022-05-01,item4,store2,20.1
2022-05-02,item1,store1,265.5
2022-05-02,item1,store4,265.5
2022-05-02,item1,store2,20.5
2022-05-02,item4,store2,20.1
2022-05-27,item6,store4,264.3
2022-05-27,item6,store3,264.3
2022-05-28,item6,store4,264.3
2022-05-28,item6,store3,264.3
2022-05-29,item6,store4,264.3
2022-05-29,item6,store3,264.3
2022-07-05,item1,store1,296.0
2022-07-05,item1,store4,296.0
2022-07-05,item1,store2,20.5
2022-07-05,item4,store2,20.1
2022-07-06,item1,store1,296.0
2022-07-06,item1,store4,296.0
2022-07-06,item1,store2,20.5
2022-07-06,item4,store2,20.1
2022-07-07,item1,store1,296.0
2022-07-07,item1,store4,296.0
2022-07-07,item1,store2,20.5
2022-07-07,item4,store2,20.1
2022-07-08,item1,store1,296.0
2022-07-08,item1,store4,296.0
2022-07-08,item1,store2,20.5
2022-07-08,item4,store2,20.1
